,0
95,225:  1 x 6 and 1 x 8 Bricks
96,236:  Garage and Van
97,"283:  Sloping Ridge and Valley Bricks, Red"
98,"283:  Sloping Ridge and Valley Bricks, Blue"
99,1223:  2 x 2 Curved Bricks
100,1231:  Windows and Doors Retailer Pack
101,1233:  Light Masts
102,1234:  Letter Bricks
103,1242:  International Flags
104,1245:  Lighting Device Pack
105,1260:  1:87 Twenty Four Models
106,1306:  VW Garage
107,1307:  VW Auto Showroom
108,1308:  Fire Station
109,1309:  Church
110, LEGO Town Plan Wooden Board
111, 5 Danish Flags
112, LEGO Town Plan Wooden Board
113, LEGO Town Plan Wooden Board
114, Canister Set (Switzerland)
115, Canister Set (Switzerland)
116, Canister Set (Switzerland)
117, Canister Set (Switzerland)
118,210:  Small Store Set
119,211:  Small House Set
120,212:  Small House - Left Set
121,213:  Small House - Right Set
122,"214:  Ten Windows and Doors, Red"
123,"214:  Ten Windows and Doors, White"
124,215:  2 x 8 Bricks
125,216:  2 x 10 Bricks
126,217:  4 x 4 Corner Bricks
127,218:  2 x 4 Bricks
128,219:  2 x 3 Bricks
129,220:  2 x 2 Bricks
130,221:  1 x 2 Bricks
131,222:  1 x 1 Bricks
132,223:  1 x 1 Round Bricks
133,224:  2 x 2 Curved Bricks
134,226:  8 Named Beams
135,227:  4 x 8 Curved & 2 x 8 Plates
136,228:  4 x 8 & 2 x 8 Plates
137,229:  6 x 8 & 2 x 8 Plates
138,230:  Six Trees and Bushes
139,232:  16 Road Signs
140,233:  Light Masts
141,234:  Letter Bricks
142,235:  Garage Plate and Door (White Base and Door Frame)
143,242:  International Flags
144,242:  5 Danish Flags
145,245:  Lighting Device Pack
146,253:  1:87 Bedford Flatbed Truck
147,254:  1:87 Bedford Flatbed Trailer
148,255:  1:87 Bedford Fire Engine
149,256:  1:87 Bedford Tow Truck
150,257:  1:87 Bedford Delivery Truck
151,258:  1:87 VW Van
152,259:  1:87 VW Pickup
153,260:  1:87 VW Beetle
154,261:  1:87 VW Beetle + Showroom
155,270:  5 Cyclists / Motorcyclists
156,271:  Traffic Police Set
157,306:  VW Garage
158,307:  VW Auto Showroom
159,308:  Fire Station
160,309:  Church
161,310:  ESSO Filling Station
162,"700:  Wooden Storage Box, Empty"
163,700:  Wooden Storage Box with Contents
164,1234:  Lego Mursten System i Leg 1 x 1 Letter Bricks
165,1261:  1:87 VW Beetle
166, International Flags
167, LEGO Complimentray Pack
168, Lego Bricks Box
169,"200:  LEGO Town Plan Board, Continental European Cardboard Version"
170,"280:  Sloping Roof Bricks, Red"
171,"280:  Sloping Roof Bricks, Blue"
172,"281:  1 x 2 and 3 x 2 Sloping Bricks, Red"
173,"281:  1 x 2 and 3 x 2 Sloping Bricks, Blue"
174,"282:  2 x 2 Sloping Roof Bricks, Red"
175,"282:  2 x 2 Sloping Roof Bricks, Blue"
176, Volkswagen Kit
177,237:  Number Bricks
178, Kindergarten LEGO Set
179,215:  2 X 8 Bricks
180,216:  2 X 10 Bricks
181,217:  4 x 4 Corner Bricks
182,218:  2 x 4 Bricks
183,219:  2 X 3 Bricks
184,220:  2 X 2 Bricks
185,221:  1 X 2 Bricks
186,222:  1 x 1 Bricks
187,223:  1 x 1 Round Bricks
188,224:  Bricks Curved
189,226:  1 X 8 & 1 X 6 Named Beams
190,228:  4 X 8 Plates
191,230:  Trees and Bushes
192,231:  Esso Stations (Pumps and Sign)
193,232:  Road Signs
194,233:  Street Lamps
195,234:  Lettered Bricks
196,235:  Garage Plate and Door (White Base and Door Frame)
197,237:  Numbered Bricks
198,242:  International Flags
199,245:  Lighting Device Pack
200,246:  LEGO Town Plan Board
201,262:  1:87 Opel Rekord with Garage
202,263:  1:87 Ford Taunus 17M de Luxe with Garage
203,264:  1:87 Mercedes 220 with Garage
204,265:  1:87 Karmann Ghia with Garage
205,311:  Airplanes
206,312:  Boats
207,400:  Small Wheels with Axles 
208,518:  2 X 4 Plate (Flat Roof Bricks with 8 Studs)
209,519:  2 X 3 Plate (Flat Roof Bricks with 6 Studs)
210,520:  2 X 2 Plate (Flat Roof Bricks with 4 Studs)
211,700:  10 X 20 Large Base Plate 
212,702:  Small Basic Set
213,703:  Small Basic Set
214,705:  Small Basic Set (Flat Box)
215,708:  Medium Basic Set (Flat Box)
216,711:  Large Basic Set (Flat Box)
217,717:  Junior Constructor
218,725:  Town Plan
219,810:  Town Plan - Continental European
220, 1 x 6 x 3 Window with Frame
221, 1 x 6 x 3 Window with Frame
222," 1 x 2 x 4 Glass Door in Frame, Left"
223, 1 x 2 x 4 Glass Door in Frame
224, 1 x 6 x 2 Triple-Pane Window in Frame
225, 1 x 6 x 2 Triple-Pane Window in Frame
226, 1 x 6 x 2 Double-Pane Window in Frame w/Shutters
227, 1 x 6 x 2 Double-Pane Window in Frame w/Shutters
228, 1 x 4 x 2 Window in Frame
229, 1 x 4 x 2 Window in Frame
230, 1 x 3 x 2 Window in Frame
231, 1 x 3 x 2 Window in Frame
232, 1 x 2 x 2 Window in Frame
233, 1 x 2 x 2 Window in Frame
234, 1 x 1 x 2 Window Frame
235, 1 x 1 x 2 Window Frame
236, 1 x 2 x 1 Window Frame
237, 1 x 2 x 1 Window Frame
238, 1 x 1 x 1 Window Frame
239, 1 x 1 x 1 Window Frame
240, 1 x 6 Beams
241, 1 x 8 Beams
242, 4 x 8 Left Curve Plates
243, 4 x 8 Right Curve Plates
244, 6 x 8 Plates
245, 2 x 8 Plates
246," International Flags - Italy, Switzerland, Belgium, Germany, Netherlands"
247," International Flags - Britain, France, Austria, Portugal, LEGO"
248, 1 x 1 and 1 x 2 Plates 
249, Canister Set (Switzerland)
250, Empty Kindergarten LEGO Box
251,"200:  LEGO Town Plan Board, UK / Australian Cardboard Version"
252,518:  2 x 4 Plates (cardboard box version)
253,518:  2 x 4 Plates (architectural hobby und modelbau version)
254,519:  2 x 3 Plates (cardboard box version)
255,519:  2 x 3 Plates (architectural hobby und modelbau version)
256,520:  2 x 2 Plates (cardboard box version)
257,520:  2 x 2 Plates (architectural hobby und modelbau version)
258,521:  1 x 1 and 1 x 2 Plates (cardboard box version)
259,521:  1 x 1 and 1 x 2 Plates (architectural hobby und modelbau version)
260,704:  Small Basic Set (Canister)
261,706:  Medium Basic Set (Canister)
262,710:  Wooden Storage Box with Contents
263,710:  Large Basic Set (Canister)
264,750:  Hobby and Model Box
265,751:  Hobby and Model Box
266,752:  Hobby and Model Box
267,"810:  Town Plan - UK, Cardboard box"
268, 2 x 8 Plates
269,261:  1:87 VW Beetle with Garage
270,266:  1:87 Mercedes 190 SL with Garage
271,267:  1:87 VW 1500 Limousine with Garage
272,268:  1:87 Ford Taunus 17M with Garage
273,314:  Large & Small Wheels & Turn-Table
274,315:  European Taxi
275,316:  Farm Tractor
276,317:  Truck
277,318:  Windmill Set
278,400:  Small Wheels with Axles (System)
279,450:  Deluxe Building Set 
280,605:  Wheel Toy
281,615:  Samsonite Gift Set
282,705:  Medium Basic Set (tall box)
283,"711:  Wooden Storage Box Large, Empty"
284,712:  Wooden Storage Box Medium with Contents
285,"713:  Wooden Storage Box Medium, Empty"
286,905:  Doll Set
287,1605:  Wheel Toy Set
288,1905:  Doll Set (Canister)
289,7100:  Samsonite Large Educational Set
290, 6 International Flags -1-
291, 6 International Flags -2-
292, 6 International Flags -3-
293, Basic Set
294,040:  Basic Building Set in Cardboard
295,041:  Pre-School Beginners Set
296,050:  Basic Building Set in Cardboard
297,105:  Pre-School Beginners Set
298,303:  Aeroplane
299,304:  Tractor & Trailer
300,305:  Fire Engine
301,322:  Town House
302,323:  Train
303,324:  House with Garage
304,395:  New York World Fair Promo
305,396:  New York World Fair Promo
306,401:  Large Wheels with Axles (System)
307,402:  White Turntables
308,472:  1:87 Nine Models
309,650:  1:87 Mercedes Esso Tanker
310,651:  1:87 Mercedes Truck
311,652:  1:87 Mercedes Truck/Trailer
312,653:  1:87 Mercedes Flatbed Truck
313,654:  1:87 Mercedes Flatbed Truck/Trailer
314,655:  1:87 Mercedes Fire Truck
315,656:  1:87 Mercedes Tow Truck
316,657:  1:87 Mercedes Delivery Van
317,658:  1:87 VW Van
318,659:  1:87 VW Pickup
319,661:  1:87 VW Beetle
320,664:  1:87 Mercedes 220 S
321,665:  1:87 Karmann Ghia
322,666:  1:87 Mercedes Sport
323,667:  1:87 VW 1500
324,668:  1:87 Ford Taunus 17M
325,670:  1:87 Jaguar E-Type with Garage
326,671:  1:87 Vauxhall Victor Estate with Garage
327,"799:  Baseplate, Gray"
328,801:  Space Rocket
329,802:  Player Piano
330,803:  Seesaw
331,804:  Building Crane
332,805:  3 Little Indians
333,806:  Cowboy & Pony
334, Canister Set (Switzerland)
335,001:  Gears
336,002:  4.5V Samsonite Gears Motor Set
337,005:  Basic Building Set in Cardboard
338,010:  Basic Building Set in Cardboard
339,020:  Basic Building Set in Cardboard
340,022:  Doll Furniture
341,030:  Basic Building Set in Cardboard
342,060:  Basic Building Set in Cardboard
343,90:  Educational Box - Empty
344,91:  Educational Set 1 (Terapi I)
345,92:  Educational Set 2 (Therapy II)
346,93:  Educational Set 3 (Therapy III)
347,319:  Truck with Trailer
348,320:  Airplane
349,321:  Clowns
350,326:  Small Cottage
351,409:  38 Slimbricks Assorted Sizes (The Building Toy)
352,509:  38 Slimbricks Assorted Sizes
353,510:  Tiles
354,603:  1:87 Citro+½n DS 19
355,605:  1:87 Fiat 1800
356,607:  1:87 VW Samba Bus
357,610:  Super Wheel Toy Set (long box version)
358,610:  Super Wheel Toy Set (tall box version)
359,662:  1:87 Opel Rekord
360,698:  1:87 12 Cars
361,699:  1:87 8 Trucks
362,799:  Giant Base Plate
363,1610:  Super Wheel Toy Set - Sears Exclusive
364, Assorted Bevelled Bricks
365, Large Base Plates
366,003:  Master Mechanic Set
367,004:  Master Builder Set
368,021:  Wheel Set
369,042:  Jumbo Brick Pull Toy
370,051:  Assorted basic bricks - Red
371,052:  Assorted basic bricks - White
372,053:  Assorted basic bricks - Blue
373,054:  Assorted basic bricks - Yellow
374,055:  Trees & Bushes
375,056:  Windows & Doors
376,057:  Large Wheels
377,058:  Small wheels
378,059:  Red Roof Bricks Pack
379,060:  Assorted White Plates Pack
380,061:  5 - 10X20 base plates - Green
381,062:  5 - 10X20 base plates - White
382,063:  5 - 10X20 base plates - Blue
383,070:  Universal Building Set
384,093:  Small Basic Set
385,99:  Gift Set
386,100:  4.5V Motor with Wheels (Small Version)
387,100:  4.5V Motor with Wheels (Large Version)
388,101:  4.5V Battery Case
389,111:  Starter Train Set without Motor
390,112:  Locomotive with Motor
391,113:  Motorized Train Set
392,114:  Small Train Set
393,115:  Starter Train Set with Motor
394,120:  Small Basic Set
395,150:  Straight Track
396,150:  Straight Train Track
397,151:  Curved Track
398,151:  Curved Train Track
399,152:  Two Train Wagons
400,153:  Large Train Wagon
401,154:  Switch Track
402,155:  Cross Track
403,205:  Small Basic Set
404,239:  Idea Book
405,285:  Medium Basic Set
406,301:  Wheel Toy Set
407,313:  London Bus
408,325:  Shell Service Station
409,375:  Deluxe Basic Set
410,400:  Small Wheels with Axles (The Building Toy)
411,401:  Large Wheels with Axles (The Building Toy)
412,402:  White Turntables (The Building Toy)
413,402:  Swivels and Base Plates
414,403:  Train Couplers and Wheels (System)
415,"414:  Windows Parts Pack, Red (The Building Toy)"
416,"414:  Windows Parts Pack, White (The Building Toy)"
417,"414:  Windows Parts Pack, Red (System)"
418,"414:  Windows Parts Pack, White (System)"
419,415:  5 Sixteens and 4 Twenties (System)
420,"415:  16 Stud Beams, Assorted Colours"
421,416:  4 Sixteens 2 Twenties (The Building Toy)
422,"416:  20 Stud Beams, Assorted Colours"
423,"417:  Corner Bricks, Assorted Colours"
424,417:  Cornerbricks (The Building Toy)
425,417:  Cornerbricks (System)
426,418:  2 x 4 Bricks (The Building Toy)
427,418:  2 x 4 Bricks (System)
428,419:  2 x 3 Bricks (The Building Toy)
429,419:  2 x 3 Bricks (System)
430,420:  2 x 2 Bricks (The Building Toy)
431,420:  2 x 2 Bricks (System)
432,421:  1 x 2 Bricks
433,421:  2 eights 2 sixes 2 fours 8 twos 6 ones (The Building Toy)
434,"421:  2 Stud Bricks, Assorted Colours (6)"
435,"422:  1 x 1, 1 x 2, 1 x 4, 1 x 6, 1 x 8 Bricks"
436,"422:  1 Stud Brick, Assorted Colours (6)"
437,"423:  1 Stud Round Brick, Assorted Colours (6)"
438,423:  Curved and Round Bricks (The Building Toy)
439,423:  Curved and Round Bricks (System)
440,"424:  Curved Bricks, Assorted Colours (6)"
441,426:  7 Named Beams (The Building Toy)
442,"426:  Names, Numbers, Alphabet"
443,427:  8 Pieces 2x8 (The Building Toy)
444,427:  4 x 8 Assorted Base Plates
445,428:  5 Plates 4 x 8 (The Building Toy)
446,429:  4 Plates 6 x 8 (The Building Toy)
447,430:  Six Trees and Bushes (The Building Toy)
448,"430:  Assorted Trees, Bushes, Flags"
449,431:  Gas Station (The Building Toy)
450,431:  Garage Door and Esso Pumps
451,432:  Road Signs (The Building Toy)
452,432:  Road Signs and Street Lamps
453,433:  6 Street Lamps with Curved Top (The Building Toy)
454,434:  50 lettered bricks (The Building Toy)
455,435:  Garage Plate and Door (The Building Toy)
456,437:  50 numbered bricks (The Building Toy)
457,445:  Lighting Device Pack (The Building Toy)
458,"451:  1 x 6 x 3 Window, Red or White"
459,"452:  1 x 6 x 2 Window, Red or White"
460,"453:  1 x 6 x 2 Shuttered Windows, Red or White"
461,"454:  1 x 4 x 2 Window, Red or White"
462,"455:  1 x 3 x 2 Window, Red or White"
463,"456:  1 x 2 x 2 Window, Red or White"
464,456:  Lighting Devise
465,"457:  1 x 1 x 2 Window, Red or White"
466,"458:  1 x 2 x 1 Window, Red or White"
467,"459:  1 x 1 x 1 Window, Red or White"
468,"460:  1 x 2 x 3 Door, Red or White"
469,"461:  Windows and Doors, Retailer Pack"
470,"462:  2 x 8 Plates, White"
471,"463:  4 x 8 Plates, White"
472,"464:  6 x 8 Plates, White"
473,"470:  1 x 1, 1 x 2, 2 x 2, 2 x 3, 2 x 4 Plates (System)"
474,471:  Tiles (System)
475,"480:  Slopes and Slopes Double 2 x 4, Red (The Building Toy)"
476,"480:  Slopes and Slopes Double 2 x 4, Blue (The Building Toy)"
477,"480:  Slopes and Slopes Double 2 x 4, Red (System)"
478,"480:  Slopes and Sloped Double 2 x 4, Blue (System)"
479,"481:  Slopes and Slopes Double 2 x 3 and 2 x 1, Red (The Building Toy)"
480,"481:  Slopes and Slopes Double 2 x 3 an 2 x 1, Blue (The Building Toy)"
481,"481:  Slopes Regular, Double, Angle, Valley and Corner, Red (System)"
482,"481:  Slopes Regular, Double, Angle, Valley and Corner, Blue (System)"
483,"482:  Slopes and Slopes Double 2 x 2, Red (The Building Toy)"
484,"482:  Slopes and Slopes Double 2 x 2, Blue (The Building Toy)"
485,"483:  Angle, Valley and Corner Slopes, Red (The Building Toy)"
486,"483:  Angle, Valley and Corner Slopes, Blue (The Building Toy)"
487,485:  Lighting Brick (System)
488,487:  1 x 1 Bricks with Numbers (System)
489,488:  1 x 1 Bricks with Letters (System)
490,489:  Traffic Signs
491,490:  Trees and Bushes
492,"491:  Shell Station Brick and Sign, 6 Named Beams"
493,492:  Nordic and American Flags
494,493:  European Flags
495,"494:  Gates and Fence, White (The Building Toy)"
496,501:  JUMBO Pull Toy
497,601:  1:87 Morris 1100
498,649:  1:87 Mercedes Shell Tanker
499,695:  1:87 6 European Cars
500,696:  1:87 6 German Cars
501,700:  10 x 20 Brickplate
502,704:  Master Discovery Set
503,710:  Lockable Storage Case
504,800:  Town Plan
505,"820:  Wooden Storage Box Large (Double Latch) with Contents, with Lattice"
506,"821:  Wooden Storage Box Large (Double Latch), Empty, with Lattice"
507,822:  Wooden Storage Box Medium (Single Latch) with Contents
508,"823:  Wooden Storage Box Medium (Single Latch), Empty"
509,"824:  Wooden Storage Box Large (Double Latch), Empty, without Lattice"
510,835:  Advanced Builders Set
511," No. 1 Assorted Windows, Red"
512," No. 1 Assorted Windows, White"
513," No. 2 Assorted Windows, Red"
514," No. 2 Assorted Windows, White"
515," No. 3 Assorted Windows, Red"
516," No. 3 Assorted Windows, White"
517," No. 4 Assorted Windows, Red"
518," No. 4 Assorted Windows, White"
519," Doors, Red"
520," Doors, White"
521," 8 Stud Bricks (clear, white, red)"
522," 8 Stud Bricks (black, yellow, blue)"
523," 6 Stud Bricks (clear, red, white)"
524," 6 Stud Bricks (black, yellow, blue)"
525," 4 Stud Bricks (clear, white, red)"
526," 4 Stud Bricks (black, yellow, blue)"
527," 1X6 & 1X8 Stud Beams, Clear"
528," 1X6 & 1X8 Stud Beams, Assorted Colours (5)"
529, International Flags (The Building Toy)
530, 6 International Flags (The Building Toy)
531," Assorted Bevelled Bricks, Red"
532," Assorted Bevelled Bricks, Blue"
533," Assorted Roof Tile, Clear"
534," Assorted Roof Tile, 5 Colours"
535, Sampler Set Oxydol
536, 324 Piece Medium Basic Set
537, 125 Piece Basic Set
538, 151 Piece Basic Set
539, 224 piece Explorer Set
540, 565 Piece Basic Set
541,1:  Promotional Set No. 1 (Kraft Velveeta)
542,2:  Promotional Set No. 2 (Kraft Velveeta)
543,3:  Promotional Set No. 3 (Kraft Velveeta)
544,4:  Promotional Set No. 4 with Carrying Case (Kraft Velveeta)
545,5:  Promotional Set No. 5 (Kraft Velveeta)
546,005:  Discovery Set
547,6:  Promotional Set No. 6 (Kraft Velveeta)
548,7:  Promotional Set No. 7 Carrying Case (Kraft Velveeta)
549,080:  Basic Building Set with Train
550,080:  Ambassador Set
551,116:  Starter Train Set with Motor
552,117:  Locomotive without Motor
553,154:  Switch Track - 1 Right and 1 Left
554,"155:  2 Cross Rails, 8 Straight Tracks, 4 Base Plates"
555,240:  Idea Book
556,244:  Explorer Set
557,328:  Biplane
558,329:  Antique Car
559,331:  Dump Truck
560,332:  Tow Truck
561,333:  Delivery Truck
562,334:  Truck with Flatbed
563,335:  Transport Truck
564,335:  Transport Truck
565,371:  Motorized Truck Set
566,403:  Train Couplers and Wheels (The Building Toy)
567,404:  Wheels for Motor (The Building Toy)
568,404:  Wheels for the Motor (System)
569,"494:  Gates and Fence, Red (System)"
570,501:  LoveLand Carrying Case (empty)
571,536:  Designer Set
572,"701:  Wooden Storage Box Large, Empty"
573,"890:  Lockable Storage Box, Empty"
574, 335 Piece Basic Set
575,010:  Basic Building Set
576,011:  Basic Building Set
577,022:  Basic Building Set
578,033:  Basic Building Set
579,044:  Basic Building Set
580,055:  Basic Building Set
581,060:  Jumbo Brick School Set
582,066:  Basic Building Set
583,066:  Governor Set
584,102:  4.5V Motor Set
585,111:  Starter Train Set
586,113:  Motorized Train Set
587,116:  Deluxe Motorized Train Set
588,118:  Electronic Train
589,118:  Small Train Set
590,119:  Super Train Set
591,156:  2 Signals with Automatic Stop / Go Attachment
592,159:  Blue Track Layout Pack
593,160:  Magnetic Couplings
594,223:  Adventure Set
595,235:  Garage Plate and Door (Gray Base and Door Frame)
596,236:  Garage with Automatic Door (Gray base and door frame)
597,239:  The big LEGO book
598,315:  European Taxi
599,316:  Farm Tractor
600,317:  Truck
601,319:  Truck with Trailer
602,320:  Red Airplane Set
603,326:  Suburban Set
604,329:  Antique Car
605,330:  Jeep
606,330:  Jeep
607,331:  Dump Truck
608,332:  Tow Truck
609,333:  Delivery Truck
610,334:  SEMI-Trailer Truck
611,336:  Fire Engine
612,340:  Railroad Control Tower
613,340:  Railroad Control Tower
614,341:  Warehouse
615,341:  Warehouse
616,342:  Station
617,342:  Terminal Building
618,343:  Train Ferry
619,343:  Ferry
620,502:  Deluxe Set with Storage Case
621,502:  Pre-School Medium Set
622,503:  Pre-School Large Set
623, 301 piece set with suitcase
624,1:  Set No 1 - Quaker/Life Cereal
625,2:  Set No 2 - Quaker/Life Cereal
626,3:  Set No 3 - Quaker/Life Cereal
627,044:  Jumbo Bricks
628,045:  Assorted Clear Bricks & Plates
629,046:  Assorted White Bricks & Plates
630,047:  Gates and Fences
631,048:  Assorted Blue / Yellow Bricks Pack
632,049:  Windows / Doors & Trees / Bushes
633,050:  Lighting Device Pack
634,064:  5 - 10X20 base plates - White / Blue
635,065:  2 Garage Door Kits
636,079:  Giant Base Plate 50X50
637,088:  Super Set
638,101:  4.5V Battery Case
639,102:  Super Value Set
640,103:  4.5V Motor Set with Rubber Tracks
641,118:  Motorized Freight or Passenger Train (Sears Exclusive)
642,120:  Complete Freight Train Set with Tipper Trucks
643,122:  Loco and Tender
644,123:  Passenger Coach
645,124:  Goods Wagon
646,125:  Tipping Wagon
647,127:  Complete Train with 3 Wagons
648,138:  Electronic Train
649,139:  Electronic Control Unit (Forward/Backward - Stop)
650,140:  Basic Set With Motor
651,157:  Automatic Direction Changer
652,158:  Railroad Crossing Gate
653,241:  Idea book
654,310:  Motorized Truck Set
655,321:  School Set
656,322:  Educational Gear Set
657,337:  Truck with Crane and Caterpillar Track
658,344:  Bungalow
659,345:  House with Mini Wheel Car
660,346:  House with Car
661,347:  Fire Station with Mini-Wheel Vehicles
662,441:  Wheel Accessories
663,442:  Decorator Set
664,443:  Doors & Windows
665,444:  Truck Accessories
666,445:  Roof Bricks
667,446:  Special Building Bricks
668,447:  Garage Kit & Street Signs
669,449:  50 x 50 Large Baseplate
670,"501:  Wooden Storage Box Large, Empty"
671,510:  Building Set
672,511:  Building Set
673,702:  12V Motor with Accessories Pack
674,703:  12V Replacement Motor
675,704:  12V Sleeper (Track) Contacts
676,705:  Motor Bushings
677,706:  Rail Contact Wires
678,707:  12V Train Replacement Parts Retailer Pack
679,720:  Train with 12V Electric Motor
680,721:  Steam Locomotive
681,740:  12V Transformer for 220V Pack
682,750:  8 Straight 12V Conducting Rails
683,751:  8 Curved 12V Conducting Rails
684,753:  Automatic Right Electric Switch
685,754:  Automatic Left Electric Switch
686,842:  Town Plan
687,900:  4 Small Wheels with Accessories
688,901:  2 Large Wheels with Accessories
689,902:  5 Turntables
690,903:  Train Wheels and Couplers
691,906:  12 doors and 5 hinges
692,"914:  Windows, Red"
693,"914:  Windows, White"
694,915:  6 bricks with 16 and 20 studs and 3 Angle Bricks
695,918:  21 8-Stud Bricks
696,"919:  31 bricks with 2, 4 and 6 studs"
697,"922:  28 bricks with 1, 2, 4, 6 and 8 studs"
698,"923:  50 bricks, curved and round"
699,"964:  10 building plates 2 x 8, 4 x 8, 6 x 8"
700,970:  47 1/3 elements (plates)
701,971:  52 flat tile bricks
702,"980:  23 sloping bricks, including roof peak bricks, Red"
703,"980:  23 sloping bricks, including roof peak bricks, Blue"
704,"981:  34 sloping profile bricks, including profile peak bricks, Red"
705,"981:  34 sloping profile bricks, including profile peak bricks, Blue"
706,985:  Lighting Device Parts Pack
707,986:  One Light Bulb
708,987:  Number Bricks
709,988:  Alphabet Bricks
710,989:  10 Traffic Signs
711,990:  Trees and Signs (1969 version with old style trees and 3 bricks)
712,994:  LEGO fences with garden gates
713,995:  Lighting Bricks with Color Filters
714, Electronic Control Unit (Forward - Stop)
715, Life Cereal Puppet Set
716,1:  Small house set
717,2:  Medium house set
718,3:  Medium house set
719,4:  Large house set
720,4:  Mini House and Vehicles
721,078:  Roadway Base Plate 50X50
722,104:  4.5V Replacement Motor
723,126:  Steam Locomotive (Push)
724,157:  4 Car Auto Transport
725,242:  Big Model Book
726,271:  Mini-House with Vehicles
727,311:  Remote Control Car Set
728,312:  Remote Control Supplement
729,338:  Ambulance
730,345:  House with Mini-Wheel Car
731,346:  Jumbo Jet
732,347:  Fire Station
733,348:  Mini-Wheel Car and Truck Set
734,367:  Mini Airport and Vehicle
735,512:  Building Set 
736,513:  Building Set 
737,600:  Ambulance
738,601:  Tow Truck
739,602:  Fire Truck
740,603:  Vintage Car
741,620:  Fire Truck
742,621:  Shell Tanker Truck
743,622:  Baggage Trolley
744,623:  White Car and Camper
745,708:  2m Extension Cord for Points
746,722:  12V Electric Train with 2 Wagons
747,723:  Diesel Locomotive
748,742:  12v Transformer
749,800:  Gears. Motor and Bricks
750,801:  Gear Set
751,802:  Gear Supplement
752, Front-End Loader
753, Lighting Device Pack with Improved Plugs (The Building Toy)
754, Weetabix Castle
